rank,title,artist,album,img_url
46,물론,허각,물론,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/773/897/83773897_1682646768706_1_140x140.JPG/dims/resize/Q_80,0"
47,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/842/800/82842800_1659340238924_1_140x140.JPG/dims/resize/Q_80,0"
48,다시 만날 수 있을까,임영웅,IM HERO,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0"
49,모래 알갱이,임영웅,모래 알갱이,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/883/344/83883344_1685931006480_1_140x140.JPG/dims/resize/Q_80,0"
50,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/150/934/84150934_1691983589938_1_140x140.JPG/dims/resize/Q_80,0"
51,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/614/128/82614128_1648619377015_1_140x140.JPG/dims/resize/Q_80,0"
52,심 (心),DK (디셈버),심 (心),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/556/186/83556186_1676621348326_1_140x140.JPG/dims/resize/Q_80,0"
53,I Don't Think That I Like Her,Charlie Puth,CHARLIE,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/484/273/82484273_1665067200754_1_140x140.JPG/dims/resize/Q_80,0"
54,Supernatural,NewJeans,Supernatural,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/323/248/85323248_1718932273566_1_140x140.JPG/dims/resize/Q_80,0"
55,미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/914/936/84914936_1711089894911_1_140x140.JPG/dims/resize/Q_80,0"
56,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/051/769/82051769_1621328428038_1_140x140.JPG/dims/resize/Q_80,0"
57,주저하는 연인들을 위해,잔나비,전설,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/172/042/81172042_1552452730746_1_140x140.JPG/dims/resize/Q_80,0"
58,Cruel Summer,Taylor Swift,Lover,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/261/264/81261264_1566536354779_1_140x140.JPG/dims/resize/Q_80,0"
59,사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/540/759/82540759_1645152997958_1_140x140.JPG/dims/resize/Q_80,0"
60,Armageddon,aespa,Armageddon - The 1st Album,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/165/232/85165232_1716798792825_1_140x140.JPG/dims/resize/Q_80,0"
61,Home,임영웅,온기,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/111/408/85111408_1714717028079_1_140x140.JPG/dims/resize/Q_80,0"
62,Ditto,NewJeans,NewJeans 'OMG',"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/325/577/83325577_1702544336227_1_140x140.JPG/dims/resize/Q_80,0"
63,무지개,임영웅,IM HERO,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0"
64,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/044/453/81044453_1521524523818_1_140x140.JPG/dims/resize/Q_80,0"
65,Older,Sasha Alex Sloan,Older,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/122/286/81122286_1541662943840_1_140x140.JPG/dims/resize/Q_80,0"
66,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/011/548/84011548_1688552794542_1_140x140.JPG/dims/resize/Q_80,0"
67,Igloo,KISS OF LIFE,Lose Yourself,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/650/192/85650192_1728969770669_1_140x140.JPG/dims/resize/Q_80,0"
68,온기,임영웅,온기,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/111/408/85111408_1714717028079_1_140x140.JPG/dims/resize/Q_80,0"
