rank,title,artist,album,img_url
61,Bubble Gum,NewJeans,How Sweet,https://image.bugsm.co.kr/album/images/50/41006/4100628.jpg?version=20250107004601.0
62,나는 아픈 건 딱 질색이니까,(여자)아이들,2,https://image.bugsm.co.kr/album/images/50/40953/4095394.jpg?version=20250107033053.0
63,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',https://image.bugsm.co.kr/album/images/50/40780/4078016.jpg?version=20221014011218.0
64,Strategy (feat. Megan Thee Stallion),TWICE (트와이스),STRATEGY,https://image.bugsm.co.kr/album/images/50/206898/20689803.jpg?version=20241210012217.0
65,ETA,NewJeans,NewJeans 2nd EP 'Get Up',https://image.bugsm.co.kr/album/images/50/40885/4088574.jpg?version=20231220032138.0
66,I AM,IVE (아이브),I've IVE,https://image.bugsm.co.kr/album/images/50/40849/4084947.jpg?version=20240810012634.0
67,SPOT! (feat. JENNIE),지코 (ZICO),SPOT!,https://image.bugsm.co.kr/album/images/50/41005/4100571.jpg?version=20240430023213.0
68,Attention,NewJeans,NewJeans 1st EP 'New Jeans',https://image.bugsm.co.kr/album/images/50/40780/4078016.jpg?version=20221014011218.0
69,네모네모,YENA (최예나),네모네모,https://image.bugsm.co.kr/album/images/50/206738/20673830.jpg?version=20241207011852.0
70,Sticky,KISS OF LIFE,Sticky,https://image.bugsm.co.kr/album/images/50/41032/4103276.jpg?version=20240702024856.0
71,Love me or Leave me,DAY6 (데이식스),The Book of Us : The Demon,https://image.bugsm.co.kr/album/images/50/203237/20323788.jpg?version=20241114011724.0
72,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어,https://image.bugsm.co.kr/album/images/50/40997/4099728.jpg?version=20250101001138.0
73,사건의 지평선,윤하(Younha/ユンナ),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',https://image.bugsm.co.kr/album/images/50/40734/4073469.jpg?version=20250107012445.0
74,미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4,https://image.bugsm.co.kr/album/images/50/40993/4099372.jpg?version=20240517174204.0
75,아직 거기 살아,DAY6 (데이식스),Band Aid,https://image.bugsm.co.kr/album/images/50/206680/20668087.jpg?version=20240903005613.0
76,인사,범진,인사,https://image.bugsm.co.kr/album/images/50/204409/20440993.jpg?version=20231212004159.0
77,MEOW,MEOVV (미야오),MEOW,https://image.bugsm.co.kr/album/images/50/41067/4106748.jpg?version=20241119040456.0
78,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,https://image.bugsm.co.kr/album/images/50/40658/4065831.jpg?version=20230422005430.0
79,밤양갱,비비(BIBI),밤양갱,https://image.bugsm.co.kr/album/images/50/40961/4096123.jpg?version=20240301015403.0
80,내가 S면 넌 나의 N이 되어줘,TWS (투어스),TWS 2nd Mini Album ‘SUMMER BEAT!’,https://image.bugsm.co.kr/album/images/50/41023/4102387.jpg?version=20240718014004.0
81,LOVE DIVE,IVE (아이브),LOVE DIVE,https://image.bugsm.co.kr/album/images/50/40737/4073710.jpg?version=20220426143556.0
82,내가 널 지켜줄게,폴킴(Paul Kim),내가 널 지켜줄게 (나의 완벽한 비서 OST Special Track),https://image.bugsm.co.kr/album/images/50/206946/20694645.jpg?version=20250104000003.0
83,시작의 아이,마크툽(MAKTUB),시작의 아이 ハジマリのコ (Starting With You),https://image.bugsm.co.kr/album/images/50/41124/4112411.jpg?version=20250103014027.0
84,해야 (HEYA),IVE (아이브),IVE SWITCH,https://image.bugsm.co.kr/album/images/50/41006/4100623.jpg?version=20250107011729.0
85,drinks or coffee,로제(ROSÉ),rosie,https://image.bugsm.co.kr/album/images/50/41113/4111311.jpg?version=20241210002920.0
86,Drama,aespa,Drama - The 4th Mini Album,https://image.bugsm.co.kr/album/images/50/40929/4092948.jpg?version=20241204025434.0
87,헤어지자 말해요,박재정,1집 Alone,https://image.bugsm.co.kr/album/images/50/40856/4085673.jpg?version=20230421064519.0
88,Congratulations,DAY6 (데이식스),The Day,https://image.bugsm.co.kr/album/images/50/5297/529710.jpg?version=20190719114948.0
89,비의 랩소디,임재현,비의 랩소디,https://image.bugsm.co.kr/album/images/50/206088/20608836.jpg?version=20240209024356.0
90,그녀가 웃었다,DAY6 (데이식스),Band Aid,https://image.bugsm.co.kr/album/images/50/206680/20668087.jpg?version=20240903005613.0
91,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,https://image.bugsm.co.kr/album/images/50/40935/4093522.jpg?version=20240307015748.0
92,숲,최유리,유영,https://image.bugsm.co.kr/album/images/50/40790/4079006.jpg?version=20230912015742.0
93,Cruel Summer,Taylor Swift(테일러 스위프트),Lover,https://image.bugsm.co.kr/album/images/50/9228/922832.jpg?version=20240827014910.0
94,우연 (우울한 우연),베이비복스(Baby V.O.X),Baby V.O.X Special Album,https://image.bugsm.co.kr/album/images/50/163/16345.jpg?version=20250107014104.0
95,Girls Never Die,tripleS (트리플에스),<ASSEMBLE24>,https://image.bugsm.co.kr/album/images/50/41009/4100945.jpg?version=20250107015946.0
96,그걸 사랑이라고 말하지마,다비치,Stitch,https://image.bugsm.co.kr/album/images/50/41105/4110530.jpg?version=20241123011049.0
